Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
"ACI WORLDWIDE, INC.",1003850945.0,134285065.0,42534897,itc,03/01/2023,02/29/2024,17305.6,1.0,17305.6,N/A,17305.6,,,True,True,False,,
ALCOA USA CORP,1005669491.0,135836747.0,42534897,itc,12/01/2022,11/30/2023,23683.0,1.0,23683.0,N/A,23683.0,,,,False,,,
AMERICAN EXPRESS TRAVEL RELATED SER,1003850056.0,136791195.0,42534897,itc,07/01/2022,06/30/2023,26500.0,1.0,26500.0,N/A,26500.0,,,,False,,,
ANDERSONS INC,1003849577.0,129327641.0,42533744,itc,07/02/2022,07/01/2023,8000.0,1.0,8000.0,N/A,8000.0,,,,False,,,
"APEX TOOL GROUP, LLC",1004002516.0,135922933.0,42534897,itc,10/01/2022,09/30/2023,15000.0,1.0,15000.0,N/A,15000.0,,,,False,,,
"ARISTOCRAT TECHNOLOGIES, INC.",1003849623.0,135655938.0,42534897,itc,01/25/2023,01/24/2024,19468.8,1.0,19468.8,N/A,19468.8,,True,,True,False,,
"BARRICK GOLD OF NORTH AMERICA, INC",1003850523.0,134999855.0,42533743,itc,05/16/2022,05/15/2023,74870.95,1.0,74870.95,N/A,74870.95,,,,False,,,
"BDO USA, LLP",1004286492.0,135516171.0,42533743,itc,01/01/2023,12/31/2023,77875.0,1.0,77875.0,N/A,77875.0,,True,,True,False,,
"BENCHMARK ELECTRONICS, INC.",1004677283.0,136761726.0,42534897,itc,05/31/2022,05/30/2023,14000.0,1.0,14000.0,N/A,14000.0,,,,False,,,
BOURNS INC,1005665004.0,135800621.0,42534897,itc,12/01/2022,11/30/2023,23400.0,1.0,23400.0,N/A,23400.0,,,,False,,,
BRANDTECH INC,1005739546.0,260107365.0,42533744,itc,09/26/2022,09/25/2023,20250.0,1.0,20250.0,N/A,20250.0,,,,False,,,
BROWN-FORMAN CORPORATION,1004707127.0,134734314.0,42534897,itc,08/01/2022,07/31/2023,14038.3,1.0,14038.3,N/A,14038.3,,,,False,,,
CABOT MICRO ELECTRONICS CORP,1003851003.0,133875800.0,42534897,itc,12/01/2022,11/30/2023,20683.51,1.0,20683.51,N/A,20683.51,,,,False,,,
CGI FEDERAL INC,1004934339.0,260138910.0,42534897,itc,09/07/2022,09/06/2023,22500.0,1.0,22500.0,N/A,22500.0,,,,False,,,
COOPER TIRE & RUBBER COMPANY,1003854023.0,129310044.0,42534897,itc,12/01/2022,11/30/2023,14599.83,1.0,14599.83,N/A,14599.83,,,,False,,,
CORTEVA AGRISCIENCE LLC,1004976002.0,260602290.0,42534897,itc,12/01/2022,11/30/2023,13538.64,1.0,13538.64,N/A,13538.64,,,,False,,,
COSTCO WHOLESALE CORP.,1003851413.0,260499768.0,42534897,itc,12/15/2022,12/14/2023,18000.0,1.0,18000.0,N/A,18000.0,True,,,False,,,
CROWE LLP,1003848257.0,136385244.0,42534897,itc,12/01/2022,11/30/2023,69254.85,1.0,69254.85,N/A,69254.85,,,,False,,,
DANIEL J EDELMAN INC.,1003851856.0,136644862.0,42534897,itc,06/01/2022,05/31/2023,14443.03,1.0,14443.03,N/A,14443.03,,,,False,,,
DAYCO PRODUCTS LLC,1004864858.0,135637342.0,42534897,itc,03/01/2023,02/29/2024,17997.82,1.0,17997.82,N/A,17997.82,,,True,True,False,,
"DIGITALOCEAN, LLC",1005195502.0,136988658.0,42534897,itc,01/13/2023,01/12/2024,9843.75,1.0,9843.75,N/A,9843.75,,True,,True,False,,
"DUPONT SPECIALTY PRODUCTS USA, LLC",1004976003.0,136874320.0,42534897,itc,12/01/2022,11/30/2023,22500.0,1.0,22500.0,N/A,22500.0,,,,False,,,
"DUPONT SPECIALTY PRODUCTS USA, LLC",1004976003.0,260620679.0,42534897,itc,12/01/2022,11/30/2023,16000.0,1.0,16000.0,N/A,16000.0,,,,False,,,
EPIC GAMES INC,1005606651.0,135257973.0,42534897,itc,08/10/2022,08/09/2023,20800.0,1.0,20800.0,N/A,20800.0,,,,False,,,
FREEPORT-MCMORAN INC,1003851874.0,134495902.0,42534897,itc,12/01/2022,11/30/2023,5100.0,1.0,5100.0,N/A,5100.0,,,,False,,,
GIGAMON INC,1005732573.0,136867300.0,42534897,itc,07/18/2022,07/14/2023,10000.0,1.0,10000.0,N/A,10000.0,,,,False,,,
GRANT THORNTON LLP,1003852200.0,135236408.0,42534897,itc,08/01/2022,07/31/2023,100255.0,1.0,100255.0,N/A,100255.0,,,,False,,,
