Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
ACCRU FELSERS SYDNEY,1004638420.0,261375734.0,41894585,beps,08/21/2023,08/20/2024,4479.142582,1,4479.142582,N/A,4479.142582,,,,True,False,False,False
ARNOTTS BISCUIT LTD,1004345813.0,260922202.0,41894585,beps,05/23/2023,05/22/2024,4293.971924,1,4293.971924,N/A,4293.971924,,,,False,,False,False
ATLASSIAN PTY LTD,1004904195.0,261301520.0,41894585,beps,06/07/2023,06/06/2024,25663.54,1,25663.54,N/A,25663.54,,,,False,,False,False
BENBOW & PIKE,1004154110.0,261080760.0,41894585,beps,05/22/2023,05/21/2024,3981.943298,1,3981.943298,N/A,3981.943298,,,,False,,False,False
BLACQUA PTE LTD,1005683838.0,261332802.0,41894585,beps,07/04/2023,07/03/2024,5306.220754,1,5306.220754,N/A,5306.220754,,,,True,True,False,False
BRITISH AMERICAN TOBACCO AUSTRALIA,1004145371.0,260688928.0,41894585,beps,10/24/2022,10/23/2023,5505.09221,1,5505.09221,N/A,5505.09221,,,,False,,False,False
CHARTS PARTNERS,1004169728.0,260560760.0,41894585,beps,01/22/2023,01/21/2024,1981.736857,1,1981.736857,N/A,1981.736857,,True,,False,,False,False
CIMIC ADMIN SERVICES PTY LTD,1005195190.0,260309141.0,41894585,beps,12/18/2022,12/17/2023,2817.575007,1,2817.575007,N/A,2817.575007,True,,,False,,False,False
FIBRISOL SERVICE AUSTRALIA PTY LTD,1005030962.0,260136174.0,41894585,beps,10/15/2022,10/14/2023,4354.087531,1,4354.087531,N/A,4354.087531,,,,False,,False,False
FLSMIDTH PTY LTD,1004141836.0,260137335.0,41894585,beps,11/24/2022,11/23/2023,2930.278007,1,2930.278007,N/A,2930.278007,,,,False,,False,False
FORD MOTOR COMPANY OF AUSTRALIA LTD,1005031439.0,260000988.0,41894585,beps,10/16/2022,10/15/2023,3761.546931,1,3761.546931,N/A,3761.546931,,,,False,,False,False
FOXTEL MANAGEMENT PTY LIMITED,1004344816.0,261411875.0,41894585,beps,08/31/2023,08/30/2024,9158.470961,1,9158.470961,N/A,9158.470961,,,,True,False,False,False
FRASERS PROPERTY AUSTRALIA PTY,1005255796.0,261080755.0,41894585,beps,05/27/2023,05/26/2024,5963.35673,1,5963.35673,N/A,5963.35673,,,,False,,False,False
GRAEME GREEN,1004158148.0,260658052.0,41894585,beps,02/11/2023,02/10/2024,5890.448665,1,5890.448665,N/A,5890.448665,,,True,False,,False,False
GRANT THORNTON AUSTRALIA LTD,1004194203.0,261360201.0,41894585,beps,08/15/2023,08/14/2024,9044.426094,1,9044.426094,N/A,9044.426094,,,,True,False,False,False
HALL CHADWICK NSW PTY LTD,1004038472.0,260136983.0,41894585,beps,11/13/2022,11/12/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,False,,False,False
HANSON AUSTRALIA (HOLDINGS) PTY LTD,1004156550.0,261164604.0,41894585,beps,07/01/2023,06/30/2024,3822.667217,1,3822.667217,N/A,3822.667217,,,,True,False,False,False
HOERBIGER AUSTRALIA PTY LTD,1005281289.0,260173393.0,41894585,beps,01/01/2023,12/31/2023,2817.575007,1,2817.575007,N/A,2817.575007,,True,,False,,False,False
JIRSCH REILLY TANG PTY LTD,1004189491.0,260136540.0,41894585,beps,11/20/2022,11/19/2023,3767.506193,1,3767.506193,N/A,3767.506193,,,,False,,False,False
JOHN SWIRE & SONS (AUSTRALIA),1005032001.0,260137446.0,41894585,beps,10/30/2022,10/29/2023,3767.506193,1,3767.506193,N/A,3767.506193,,,,False,,False,False
KELLY PARTNERS,1005805232.0,260917187.0,41894585,beps,03/06/2023,03/05/2024,3303.055326,1,3303.055326,N/A,3303.055326,,,,False,,False,False
KERRY HOLDINGS (AUSTRALIA) PTY LTD,1004184547.0,261514408.0,41894585,beps,09/28/2023,09/27/2024,4141.219378,1,4141.219378,N/A,4141.219378,,,,True,False,False,False
LATITUDE FINANCIAL SERVICES,1004775175.0,261337646.0,41894585,beps,09/01/2023,08/31/2024,5972.914946,1,5972.914946,N/A,5972.914946,,,,True,False,False,False
MACQUARIE GROUP SERVICES AUSTRALIA,1005660670.0,261411903.0,41894585,beps,09/24/2023,09/23/2024,11164.327,1,11164.327,N/A,11164.327,,,,True,False,False,False
