Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
ACCRU FELSERS SYDNEY,1004638420,136870511,41894585,beps,8/21/2022,8/20/2023," $4,186.11 ",1," $4,186.11 ",N/A,4186.113405,,,,FALSE,,,
ARNOTTS BISCUIT LTD,1004345813,136532526,41894585,beps,5/23/2022,5/22/2023," $4,128.82 ",1," $4,128.82 ",N/A,4128.819158,,,,FALSE,,,
ATLASSIAN PTY LTD,1004904195,136748435,41894585,beps,6/8/2022,6/7/2023," $23,806.62 ",1," $23,806.62 ",N/A,23806.62,,,,FALSE,,,
BENBOW & PIKE,1004154110,136353706,41894585,beps,5/22/2022,5/21/2023," $3,721.44 ",1," $3,721.44 ",N/A,3721.442334,,,,FALSE,,,
BRITISH AMERICAN TOBACCO AUSTRALIA,1004145371,260688928,41894585,beps,10/24/2022,10/23/2023," $5,505.09 ",1," $5,505.09 ",N/A,5505.09221,,,,FALSE,,TRUE,FALSE
CHARTS PARTNERS,1004169728,260560760,41894585,beps,1/22/2023,1/21/2024," $1,981.74 ",1," $1,981.74 ",N/A,1981.736857,,TRUE,,TRUE,FALSE,,
CIMIC ADMIN SERVICES PTY LTD,1005195190,260309141,41894585,beps,12/18/2022,12/17/2023," $2,817.58 ",1," $2,817.58 ",N/A,2817.575007,TRUE,,,FALSE,,,
FIBRISOL SERVICE AUSTRALIA PTY LTD,1005030962,260136174,41894585,beps,10/15/2022,10/14/2023," $4,354.09 ",1," $4,354.09 ",N/A,4354.087531,,,,FALSE,,,
FLSMIDTH PTY LTD,1004141836,260137335,41894585,beps,11/24/2022,11/23/2023," $2,930.28 ",1," $2,930.28 ",N/A,2930.278007,,,,FALSE,,,
FORD MOTOR COMPANY OF AUSTRALIA LTD,1005031439,260000988,41894585,beps,10/16/2022,10/15/2023," $3,761.55 ",1," $3,761.55 ",N/A,3761.546931,,,,FALSE,,,
