Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
"ACI WORLDWIDE, INC.",1003850945,134285065,42534897,itc,03/01/2022,02/28/2023,16640.0,1.0,16640.0,N/A,16640.0,,,,False,,,
AEGION CORPORATION,1003850617,134121514,42534897,itc,12/01/2021,11/30/2022,12480.0,1.0,12480.0,N/A,12480.0,,,,False,,False,True
ALCOA USA CORP,1005669491,135836747,42534897,itc,12/01/2021,11/30/2022,23683.0,1.0,23683.0,N/A,23683.0,,,,False,,False,True
AMERICAN AXLE & MANUFACTURING,1003849909,130620908,42534897,itc,04/01/2021,03/31/2022,8653.0,1.0,8653.0,N/A,8653.0,,,,False,,False,True
AMERICAN EXPRESS TRAVEL RELATED SER,1003850056,136791195,42534897,itc,07/01/2022,06/30/2023,26500.0,1.0,26500.0,N/A,26500.0,,,,False,,True,False
ANDERSONS INC,1003849577,129327641,42533744,itc,07/02/2022,07/01/2023,8000.0,1.0,8000.0,N/A,8000.0,,,,False,,False,True
"APEX TOOL GROUP, LLC",1004002516,135922933,42534897,itc,10/01/2022,09/30/2023,15000.0,1.0,15000.0,N/A,15000.0,,,,False,,True,False
"ARISTOCRAT TECHNOLOGIES, INC.",1003849623,135655938,42534897,itc,01/25/2022,01/24/2023,24473.0,1.0,24473.0,N/A,24473.0,,,,False,,,
ARMANINO LLP,1004286758,135044491,42534897,itc,06/23/2021,06/22/2022,10000.0,1.0,10000.0,N/A,10000.0,,,,False,,False,True
"BARRICK GOLD OF NORTH AMERICA, INC",1003850523,134999855,42533743,itc,05/16/2022,05/15/2023,74871.0,1.0,74871.0,N/A,74871.0,,,,True,False,,
"BDO USA, LLP",1004286492,135516171,42533743,itc,11/01/2021,12/31/2022,74851.0,1.0,74851.0,N/A,74851.0,,,,False,,False,True
"BENCHMARK ELECTRONICS, INC.",1004677283,130777049,42534897,itc,05/01/2021,04/30/2022,12979.0,1.0,12979.0,N/A,12979.0,,,,False,,False,True
BOURNS INC,1005665004,135800621,42534897,itc,12/01/2021,11/30/2022,22500.0,1.0,22500.0,N/A,22500.0,,,,False,,False,True
BROWN-FORMAN CORPORATION,1004707127,134734314,42534897,itc,08/01/2021,07/31/2022,13498.0,1.0,13498.0,N/A,13498.0,,,,False,,False,True
CABOT MICRO ELECTRONICS CORP,1003851003,133875800,42534897,itc,12/01/2021,11/30/2022,19116.0,1.0,19116.0,N/A,19116.0,,,,False,,False,True
CGI TECHNOLOGIES AND SOLUTIONS INC.,1004934339,135374131,42534897,itc,09/07/2021,09/06/2022,13100.0,1.0,13100.0,N/A,13100.0,,,,False,,False,True
COOPER TIRE & RUBBER COMPANY,1003854023,129310044,42534897,itc,12/01/2021,11/30/2022,14038.0,1.0,14038.0,N/A,14038.0,,,,False,,False,True
CORTEVA AGRISCIENCE,1004976002,135001361,42534897,itc,12/01/2021,11/30/2022,12536.0,1.0,12536.0,N/A,12536.0,,,,False,,False,True
CROWE LLP,1003848257,136385244,42534897,itc,12/01/2021,11/30/2022,67238.0,1.0,67238.0,N/A,67238.0,,,,False,,True,False
DANIEL J EDELMAN INC.,1003851856,130963558,42534897,itc,06/01/2021,05/31/2022,13498.0,1.0,13498.0,N/A,13498.0,,,,False,,False,True
DAYCO PRODUCTS LLC,1004864858,135637342,42534897,itc,03/01/2022,02/28/2023,17306.0,1.0,17306.0,N/A,17306.0,,,,False,,,
"DUPONT SPECIALTY PRODUCTS USA, LLC",1004976003,136138312,42534897,itc,12/24/2021,11/30/2022,12399.0,1.0,12399.0,N/A,12399.0,,,,False,,False,True
EPIC GAMES INC,1005606651,135257973,42534897,itc,08/10/2021,08/09/2022,20000.0,1.0,20000.0,N/A,20000.0,,,,False,,False,True
EXTREME NETWORKS INC,1005392292,131633945,42534897,itc,10/01/2022,09/30/2023,2700.0,1.0,2700.0,N/A,2700.0,,,,False,,False,True
FLORIDA CRYSTALS CORPORATION,1005038044,132303429,42534897,itc,03/02/2022,03/01/2023,16224.0,1.0,16224.0,N/A,16224.0,,,,False,,,
FREEPORT-MCMORAN INC,1003851874,134495902,42534897,itc,07/15/2021,07/14/2022,5000.0,1.0,5000.0,N/A,5000.0,,,,False,,False,True
GIGAMON INC,1005732573,136867300,42534897,itc,07/18/2022,07/14/2023,10000.0,1.0,10000.0,N/A,10000.0,,,,False,,True,False
GRANT THORNTON LLP,1003852200,135236408,42534897,itc,08/01/2021,07/31/2022,97335.0,1.0,97335.0,N/A,97335.0,,,,False,,False,True
HCC INSURANCE HOLDINGS,1003852209,134649915,42534897,itc,05/19/2022,05/18/2023,10400.0,1.0,10400.0,N/A,10400.0,,,,True,False,,
HEXION INC.,1004841470,135888340,42534897,itc,12/22/2021,12/21/2022,20000.0,1.0,20000.0,N/A,20000.0,,,,False,,False,True
"INTERFACE, INC",1003851115,135734658,42534897,itc,11/29/2021,11/28/2022,22500.0,1.0,22500.0,N/A,22500.0,,,,False,,False,True
KEURIG DR PEPPER INC,1003849667,135644603,42534897,itc,01/01/2022,12/31/2022,19125.0,1.0,19125.0,N/A,19125.0,,,,False,,,
"LEXMARK INTERNATIONAL, INC.",1003850429,130217119,42534897,itc,01/01/2022,12/31/2022,13784.0,1.0,13784.0,N/A,13784.0,,,,False,,,
"MAPLE MOUNTAIN GROUP,INC.",1003852771,135435514,42534897,itc,01/01/2022,12/31/2022,20250.0,1.0,20250.0,N/A,20250.0,,,,False,,,
MASCO CORPORATION,1004073194,135584073,42534897,itc,12/01/2021,11/30/2022,15000.0,1.0,15000.0,N/A,15000.0,,,,False,,False,True
MCDONALD'S CORPORATION,1003850032,136300775,42534897,itc,01/18/2022,01/17/2023,18813.0,1.0,18813.0,N/A,18813.0,,,,False,,,
"METTLER-TOLEDO INTERNATIONAL, INC.",1003850783,135722355,42534897,itc,11/17/2021,11/17/2022,13498.0,1.0,13498.0,N/A,13498.0,,,,False,,False,True
"MINERALS TECHNOLOGIES, INC.",1003849525,135729501,42534897,itc,11/13/2021,11/13/2022,13628.0,1.0,13628.0,N/A,13628.0,,,,False,,False,True
NEWMARKET SERVICES CORPORATION,1003850773,130042375,42534897,itc,07/01/2021,06/30/2022,13498.0,1.0,13498.0,N/A,13498.0,,,,False,,False,True
"NEWPARK RESOURCES, INC.",1003850811,129881654,42534897,itc,01/01/2022,12/31/2022,13784.0,1.0,13784.0,N/A,13784.0,,,,False,,,
"NUANCE COMMUNICATIONS, INC.",1003852322,135386248,42534897,itc,10/01/2021,09/30/2022,11033.0,1.0,11033.0,N/A,11033.0,,,,False,,False,True
PARKER HANNIFIN CORP,1005412624,132092915,42534897,itc,07/01/2021,06/30/2022,24398.0,1.0,24398.0,N/A,24398.0,,,,False,,False,True
PLANTRONICS INC.,1003849793,135918788,42534897,itc,05/01/2022,04/30/2023,18000.0,1.0,18000.0,N/A,18000.0,,,,True,True,,
"PLASTIPAK PACKAGING, INC.",1004628426,134034198,42534897,itc,12/31/2021,12/30/2022,14560.0,1.0,14560.0,N/A,14560.0,,,,False,,False,True
"PRA GROUP, INC.",1004029651,135458967,42534897,itc,09/30/2021,09/29/2022,20000.0,1.0,20000.0,N/A,20000.0,,,,False,,False,True
QUALCOMM INCORPORATED,1003850981,135893089,42534897,itc,12/31/2021,07/31/2022,25373.0,1.0,25373.0,N/A,25373.0,,,,False,,False,True
QUANEX BUILDING PRODUCTS,1003852350,135321429,42534897,itc,09/21/2021,10/31/2022,13075.0,1.0,13075.0,N/A,13075.0,,,,False,,False,True
RALPH LAUREN CORPORATION,1003849995,131420995,42534897,itc,08/16/2021,08/15/2022,13369.0,1.0,13369.0,N/A,13369.0,,,,False,,False,True
