Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
"ACI WORLDWIDE, INC.",1003850945,134285065,42534897,itc,03/01/2022,02/28/2023,16640.0,1.0,16640.0,N/A,16640.0,,,,True,False,,
AEGION CORPORATION,1003850617,134121514,42534897,itc,12/01/2021,11/30/2022,12480.0,1.0,12480.0,N/A,12480.0,,,,False,,,
ALCOA USA CORP,1005669491,135836747,42534897,itc,12/01/2021,11/30/2022,23683.0,1.0,23683.0,N/A,23683.0,,,,False,,,
AMERICAN AXLE & MANUFACTURING,1003849909,130620908,42534897,itc,04/01/2021,03/31/2022,8652.8,1.0,8652.8,N/A,8652.8,,,,False,,,
AMPHENOL CORP,1003850086,132098819,42534897,itc,01/01/2022,12/31/2022,0.0,1.0,0.0,N/A,0.0,,,,False,,,
ANDERSONS INC,1003849577,129327641,42533744,itc,07/02/2021,07/01/2022,8000.0,1.0,8000.0,N/A,8000.0,,,,False,,,
"ARISTOCRAT TECHNOLOGIES, INC.",1003849623,133948380,42534897,itc,12/08/2020,01/24/2024,5753.06,1.0,5753.06,N/A,5753.06,,,,False,,,
"ARISTOCRAT TECHNOLOGIES, INC.",1003849623,135655938,42534897,itc,01/25/2022,01/24/2023,18720.0,1.0,18720.0,N/A,18720.0,,,,True,True,,
ARMANINO LLP,1004286758,135044491,42534897,itc,06/23/2021,06/22/2022,10000.0,1.0,10000.0,N/A,10000.0,,,,False,,,
ASTRAZENECA PHARMACEUTICALS LP,1003853549,132049719,42534897,itc,12/01/2021,11/30/2022,0.0,1.0,0.0,N/A,0.0,,,,False,,,
"BARRICK GOLD OF NORTH AMERICA, INC",1003850523,134999855,42533743,itc,05/15/2021,05/15/2022,71991.3,1.0,71991.3,N/A,71991.3,,,,False,,,
