Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
ACCRU FELSERS SYDNEY,1004638420.0,136870511.0,41894585,beps,08/21/2022,08/20/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,True,True,,
ARNOTTS BISCUIT LTD,1004345813.0,136532526.0,41894585,beps,05/23/2022,05/22/2023,4128.819158,1,4128.819158,N/A,4128.819158,,,,False,,,
ATLASSIAN PTY LTD,1004904195.0,136748435.0,41894585,beps,06/08/2022,06/07/2023,23806.62,1,23806.62,N/A,23806.62,,,,False,,,
BENBOW & PIKE,1004154110.0,136353706.0,41894585,beps,05/22/2022,05/21/2023,3721.442334,1,3721.442334,N/A,3721.442334,,,,False,,,
CHARTS PARTNERS,1004169728.0,135872145.0,41894585,beps,01/22/2022,01/21/2023,1852.091935,1,1852.091935,N/A,1852.091935,,,,False,,False,True
CIMIC GROUP LTD,1005195190.0,135690361.0,41894585,beps,12/18/2021,12/17/2022,2709.207267,1,2709.207267,N/A,2709.207267,,,,False,,False,True
FIBRISOL SERVICE AUSTRALIA PTY LTD,1005030962.0,260136174.0,41894585,beps,10/15/2022,10/14/2023,4354.087531,1,4354.087531,N/A,4354.087531,,,,False,,False,True
FLSMIDTH PTY LTD,1004141836.0,260137335.0,41894585,beps,11/24/2022,11/23/2023,2930.278007,1,2930.278007,N/A,2930.278007,,,,False,,False,True
FLSMIDTH PTY LTD,1004141836.0,135539854.0,41894585,beps,11/24/2021,11/23/2022,2817.575007,1,2817.575007,N/A,2817.575007,,,,False,,False,True
FORD MOTOR COMPANY OF AUSTRALIA LTD,1005031439.0,260000988.0,41894585,beps,10/16/2022,10/15/2023,3761.546931,1,3761.546931,N/A,3761.546931,,,,False,,False,True
FOXTEL MANAGEMENT PTY LIMITED,1004344816.0,136914727.0,41894585,beps,08/31/2022,08/30/2023,8559.317369,1,8559.317369,N/A,8559.317369,,,,True,True,,
FRASERS PROPERTY AUSTRALIA PTY,1005255796.0,136361741.0,41894585,beps,05/27/2022,05/26/2023,5573.231489,1,5573.231489,N/A,5573.231489,,,,False,,,
GRAEME GREEN,1004158148.0,136096121.0,41894585,beps,02/11/2022,02/10/2023,5505.09221,1,5505.09221,N/A,5505.09221,,,,False,,False,True
GRANT THORNTON AUSTRALIA LTD,1004194203.0,136854532.0,41894585,beps,08/15/2022,08/14/2023,8452.731902,1,8452.731902,N/A,8452.731902,,,,True,False,,
GREENWOODS & HERBERT SMITH,1004241509.0,136007341.0,41894585,beps,02/26/2022,02/25/2023,4644.35728,1,4644.35728,N/A,4644.35728,,,,False,,False,True
HALL CHADWICK NSW PTY LTD,1004038472.0,260136983.0,41894585,beps,11/13/2022,11/12/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,False,,False,True
HALL CHADWICK NSW PTY LTD,1004038472.0,135503441.0,41894585,beps,11/13/2021,11/12/2022,4025.110102,1,4025.110102,N/A,4025.110102,,,,False,,False,True
HANSON AUSTRALIA (HOLDINGS) PTY LTD,1004156550.0,136416082.0,41894585,beps,07/01/2022,06/30/2023,3572.584641,1,3572.584641,N/A,3572.584641,,,,True,False,,
HLB MANN JUDD (NSW) PTY LTD,1004140053.0,137070983.0,41894585,beps,10/09/2022,10/08/2023,4025.110102,1,4025.110102,N/A,4025.110102,,,,False,,False,True
HOERBIGER AUSTRALIA PTY LTD,1005281289.0,135778914.0,41894585,beps,01/01/2022,12/31/2022,2709.207267,1,2709.207267,N/A,2709.207267,,,,False,,False,True
HOERBIGER AUSTRALIA PTY LTD,1005281289.0,260173393.0,41894585,beps,01/01/2023,12/31/2023,2898.850812,1,2898.850812,N/A,2898.850812,,True,,False,,False,True
INGHAMS ENTERPRISES PTY LTD,1004192913.0,136459973.0,41894585,beps,06/18/2022,06/17/2023,4644.35728,1,4644.35728,N/A,4644.35728,,,,False,,,
JIRSCH REILLY TANG PTY LTD,1004189491.0,135513426.0,41894585,beps,11/20/2021,11/19/2022,3622.605285,1,3622.605285,N/A,3622.605285,,,,False,,False,True
JIRSCH REILLY TANG PTY LTD,1004189491.0,260136540.0,41894585,beps,11/20/2022,11/19/2023,3767.506193,1,3767.506193,N/A,3767.506193,,,,False,,False,True
JOHN SWIRE & SONS (AUSTRALIA),1005032001.0,260137446.0,41894585,beps,10/30/2022,10/29/2023,3767.506193,1,3767.506193,N/A,3767.506193,,,,False,,False,True
KERRY HOLDINGS (AUSTRALIA) PTY LTD,1004184547.0,137023607.0,41894585,beps,09/28/2022,09/27/2023,3870.300028,1,3870.300028,N/A,3870.300028,,,,True,False,,
LATITUDE FINANCIAL SERVICES,1004775175.0,136827920.0,41894585,beps,09/01/2022,08/31/2023,5582.163501,1,5582.163501,N/A,5582.163501,,,,True,True,,
MACQUARIE GROUP SERVICES AUSTRALIA,1005660670.0,136936054.0,41894585,beps,09/24/2022,09/23/2023,10734.92981,1,10734.92981,N/A,10734.92981,,,,True,False,,
MAZARS ADMINISTRATION QLD PTY LTD,1004175634.0,137081111.0,41894585,beps,10/11/2022,10/10/2023,4025.110102,1,4025.110102,N/A,4025.110102,,,,False,,False,True
MAZARS MELBOURNE,1005384642.0,136786149.0,41894585,beps,07/30/2022,07/29/2023,5172.804844,1,5172.804844,N/A,5172.804844,,,,True,False,,
MONROE AUSTRALIA PTY LIMITED,1004176806.0,137064056.0,41894585,beps,10/04/2022,10/03/2023,4018.669144,1,4018.669144,N/A,4018.669144,,,,False,,False,True
MOORE AUSTRALIA,1004167157.0,260137320.0,41894585,beps,11/22/2022,11/21/2023,2817.575007,1,2817.575007,N/A,2817.575007,,,,False,,False,True
MOORE AUSTRALIA,1004167157.0,135540387.0,41894585,beps,11/22/2021,11/21/2022,2709.207267,1,2709.207267,N/A,2709.207267,,,,False,,False,True
MOORE AUSTRALIA,1004167157.0,260193735.0,41894585,beps,11/22/2022,11/21/2023,3559.895403,1,3559.895403,N/A,3559.895403,,,,False,,False,True
MORRIS COHEN GLEN & CO,1004166029.0,136022103.0,41894585,beps,02/28/2022,02/27/2023,4423.651252,1,4423.651252,N/A,4423.651252,,,,False,,False,True
MUNICH HOLDINGS OF AUSTRALASIA PTY,1004036867.0,136970346.0,41894585,beps,09/12/2022,09/11/2023,5232.645197,1,5232.645197,N/A,5232.645197,,,,True,False,,
NEXIA SYDNEY,1005028964.0,260136175.0,41894585,beps,10/18/2022,10/17/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,False,,False,True
ORICA AUSTRALIA PTY LTD,1004140330.0,136661075.0,41894585,beps,07/01/2022,06/30/2023,42200.20644,1,42200.20644,N/A,42200.20644,,,,True,False,,
PETER ZHU & ASSOCIATES,1004174534.0,136816258.0,41894585,beps,08/01/2022,07/31/2023,4830.133498,1,4830.133498,N/A,4830.133498,,,,True,False,,
PKF MELBOURNE,1004135088.0,136409198.0,41894585,beps,06/04/2022,06/03/2023,4830.133498,1,4830.133498,N/A,4830.133498,,,,False,,,
PROSPERITY PERSONAL & CORPORATE,1004195302.0,135813153.0,41894585,beps,01/09/2022,01/08/2023,3684.530691,1,3684.530691,N/A,3684.530691,,,,False,,False,True
RABOBANK AUSTRALIA LIMITED,1004164548.0,136827915.0,41894585,beps,09/15/2022,09/14/2023,3578.309937,1,3578.309937,N/A,3578.309937,,,,True,False,,
RICEGROWERS LIMITED,1004181765.0,136646155.0,41894585,beps,06/28/2022,06/27/2023,19549.16047,1,19549.16047,N/A,19549.16047,,,,False,,,
ROTHSAY ACCOUNTING SERVICES PL,1004157118.0,136522847.0,41894585,beps,06/23/2022,07/25/2022,,1,,N/A,,,,,False,,,
SAGE ADVISING PTY LTD,1005219989.0,136944442.0,41894585,beps,09/04/2022,09/03/2023,2232.8654,1,2232.8654,N/A,2232.8654,,,,True,False,,
SHAW AND PARTNERS LTD,1005427580.0,136780000.0,41894585,beps,07/28/2022,07/27/2023,4093.586568,1,4093.586568,N/A,4093.586568,,,,True,False,,
STEWART BROWN,1004283294.0,135944248.0,41894585,beps,02/09/2022,02/08/2023,2978.585191,1,2978.585191,N/A,2978.585191,,,,False,,False,True
SYMBION PTY LTD,1004168626.0,137000422.0,41894585,beps,09/20/2022,09/19/2023,9559.640793,1,9559.640793,N/A,9559.640793,,,,True,False,,
SYMBION PTY LTD,1004185447.0,260193881.0,41894585,beps,09/29/2022,09/28/2023,3440.682631,1,3440.682631,N/A,3440.682631,,,,True,False,,
TRANSFER PRICING SOLUTIONS PTY LTD,1004921436.0,260173889.0,41894585,beps,12/17/2022,12/16/2023,5023.341591,1,5023.341591,N/A,5023.341591,True,,,False,,False,True
TRANSFER PRICING SOLUTIONS PTY LTD,1004921436.0,135685813.0,41894585,beps,12/17/2021,12/16/2022,4830.133498,1,4830.133498,N/A,4830.133498,,,,False,,False,True
WECONNECT BUSINESS ADVISORY PTY LTD,1005572632.0,135910391.0,41894585,beps,02/19/2022,02/18/2023,3864.574732,1,3864.574732,N/A,3864.574732,,,,False,,False,True
WILLIS PARTNERS,1005701392.0,136227751.0,41894585,beps,03/09/2022,03/08/2023,3303.055326,1,3303.055326,N/A,3303.055326,,,,False,,False,True
WIS PARTNERS GROUP,1005530298.0,137071266.0,41894585,beps,10/08/2022,10/07/2023,4056.372144,1,4056.372144,N/A,4056.372144,,,,False,,False,True
XERO LIMITED,1004936350.0,136280525.0,41894585,beps,03/31/2022,03/30/2023,9116.979173,1,9116.979173,N/A,9116.979173,,,,False,,False,True
