Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
"ACI WORLDWIDE, INC.",1004010029,134285065,42534897,itc,03/01/2022,02/28/2023,16640.0,1.0,16640.0,N/A,16640.0,,,,False,,,
AEGION CORPORATION,1005526662,134121514,42534897,itc,12/01/2021,11/30/2022,12480.0,1.0,12480.0,N/A,12480.0,,,,False,,False,True
ALCOA USA CORP,1004010215,135836747,42534897,itc,12/01/2021,11/30/2022,23683.0,1.0,23683.0,N/A,23683.0,,,,False,,False,True
AMERICAN EXPRESS TRAVEL RELATED SER,1004775594,136791195,42534897,itc,07/01/2022,06/30/2023,26500.0,1.0,26500.0,N/A,26500.0,,,,True,True,,
ANDERSONS INC,1005522495,129327641,42533744,itc,07/02/2021,07/01/2023,8000.0,1.0,8000.0,N/A,8000.0,,,,False,,False,True
"ARISTOCRAT TECHNOLOGIES, INC.",1003849525,135655938,42534897,itc,01/25/2022,01/24/2023,18720.0,1.0,18720.0,N/A,18720.0,,,,False,,,
"BARRICK GOLD OF NORTH AMERICA, INC",1003851571,134999855,42533743,itc,05/16/2022,05/15/2023,74870.95,1.0,74870.95,N/A,74870.95,,,,False,,,
"BDO USA, LLP",1003852200,135516171,42533743,itc,11/01/2021,12/31/2022,75026.82,1.0,75026.82,N/A,75026.82,,,,False,,False,True
"BENCHMARK ELECTRONICS, INC.",1003852209,136761726,42534897,itc,05/31/2022,05/30/2023,14000.0,1.0,14000.0,N/A,14000.0,,,,False,,,
BOURNS INC,1004775930,135800621,42534897,itc,12/01/2021,11/30/2022,22500.0,1.0,22500.0,N/A,22500.0,,,,False,,False,True
BROWN-FORMAN CORPORATION,1004879539,134734314,42534897,itc,08/01/2022,07/31/2023,14038.3,1.0,14038.3,N/A,14038.3,,,,True,False,,
CABOT MICRO ELECTRONICS CORP,1005038044,133875800,42534897,itc,12/01/2021,11/30/2022,19116.0,1.0,19116.0,N/A,19116.0,,,,False,,False,True
CGI FEDERAL INC,1003849794,260138910,42534897,itc,09/07/2022,09/06/2023,22500.0,1.0,22500.0,N/A,22500.0,,,,True,True,,
COOPER TIRE & RUBBER COMPANY,1004253755,129310044,42534897,itc,12/01/2021,11/30/2022,14038.3,1.0,14038.3,N/A,14038.3,,,,False,,False,True
CORTEVA AGRISCIENCE LLC,1004639915,135001361,42534897,itc,12/01/2021,11/30/2022,12535.78,1.0,12535.78,N/A,12535.78,,,,False,,False,True
CROWE LLP,1003849589,136385244,42534897,itc,12/01/2021,11/30/2022,67237.72,1.0,67237.72,N/A,67237.72,,,,False,,False,True
DANIEL J EDELMAN INC.,1003850011,136644862,42534897,itc,06/01/2022,05/31/2023,14443.03,1.0,14443.03,N/A,14443.03,,,,False,,,
DAYCO PRODUCTS LLC,1003850055,135637342,42534897,itc,03/01/2022,02/28/2023,17305.6,1.0,17305.6,N/A,17305.6,,,,False,,,
"DIGITALOCEAN, LLC",1003850219,136988658,42534897,itc,09/01/2022,01/12/2023,9445.49,1.0,9445.49,N/A,9445.49,,,,True,True,,
"DUPONT SPECIALTY PRODUCTS USA, LLC",1003850496,136138312,42534897,itc,12/24/2021,11/30/2022,12398.95,1.0,12398.95,N/A,12398.95,,,,False,,False,True
EPIC GAMES INC,1003851055,135257973,42534897,itc,08/10/2022,08/09/2023,20800.0,1.0,20800.0,N/A,20800.0,,,,True,False,,
FLORIDA CRYSTALS CORPORATION,1003851454,132303429,42534897,itc,03/02/2022,03/01/2023,16224.0,1.0,16224.0,N/A,16224.0,,,,False,,,
FREEPORT-MCMORAN INC,1003851582,134495902,42534897,itc,07/15/2021,11/30/2022,5157.61,1.0,5157.61,N/A,5157.61,,,,False,,False,True
GIGAMON INC,1003852110,136867300,42534897,itc,07/18/2022,07/14/2023,10000.0,1.0,10000.0,N/A,10000.0,,,,True,True,,
GRANT THORNTON LLP,1003852376,135236408,42534897,itc,08/01/2021,07/31/2023,100255.0,1.0,100255.0,N/A,100255.0,,,,False,,False,True
HCC INSURANCE HOLDINGS,1003853169,134649915,42534897,itc,05/19/2022,05/18/2023,10400.0,1.0,10400.0,N/A,10400.0,,,,False,,,
HEXION INC.,1003853549,135888340,42534897,itc,12/22/2021,12/21/2022,20000.0,1.0,20000.0,N/A,20000.0,,,,False,,False,True
"INTERFACE, INC",1004004369,135734658,42534897,itc,11/29/2021,11/28/2022,22500.0,1.0,22500.0,N/A,22500.0,,,,False,,False,True
